outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2014,2015 - 2016,698,0.180037037037037,0.7871644444444444,0.04
v2x_freexp_altinf,2014,2015 - 2016,700,0.09937037037037037,0.7955561728395062,0.11666666666666667
v2x_freexp_altinf,2014,2015 - 2016,701,0.03865079365079365,0.9528038800705468,0.008888888888888889
v2x_freexp_altinf,2014,2015 - 2016,702,0.06126984126984127,0.8288639623750735,0.11703703703703702
v2x_freexp_altinf,2014,2015 - 2016,703,0.18555555555555556,0.703137037037037,0.13666666666666666
v2x_freexp_altinf,2014,2015 - 2016,704,0.10553751803751804,0.883530162738496,0.012222222222222223
v2x_freexp_altinf,2014,2015 - 2016,705,0.04174074074074074,0.9341253223593964,0.025185185185185182
v2x_freexp_altinf,2014,2015 - 2016,710,0.058333333333333334,0.8799351851851851,0.06555555555555556
v2x_freexp_altinf,2014,2015 - 2016,712,0.01638888888888889,0.8823355967078189,0.10296296296296296
v2x_freexp_altinf,2014,2015 - 2016,713,0.0044444444444444444,0.9745382716049382,0.021111111111111112
v2x_freexp_altinf,2014,2015 - 2016,731,0.024722222222222222,0.9676922839506173,0.0077777777777777776
v2x_freexp_altinf,2014,2015 - 2016,732,0.05564814814814814,0.7705877800640146,0.18400352733686068
v2x_freexp_altinf,2014,2015 - 2016,740,0.0011111111111111111,0.9911197530864198,0.0077777777777777776
v2x_freexp_altinf,2014,2015 - 2016,750,0.03333333333333333,0.7024444444444444,0.2733333333333333
v2x_freexp_altinf,2014,2015 - 2016,760,0.09527777777777778,0.7027513631687242,0.22324074074074074
v2x_freexp_altinf,2014,2015 - 2016,770,0.11629629629629629,0.7496753086419753,0.15166666666666667
v2x_freexp_altinf,2014,2015 - 2016,771,0.1586851851851852,0.6906571433470508,0.17907407407407405
v2x_freexp_altinf,2014,2015 - 2016,775,0.23014814814814813,0.7203342203932328,0.06432098765432098
v2x_freexp_altinf,2014,2015 - 2016,780,0.25305555555555553,0.6969406635802469,0.06694444444444445
v2x_freexp_altinf,2014,2015 - 2016,781,0.14183068783068783,0.6954349833431315,0.18962962962962962
v2x_freexp_altinf,2014,2015 - 2016,790,0.052222222222222225,0.7009606481481481,0.2604166666666667
v2x_freexp_altinf,2014,2015 - 2016,800,0.4013888888888889,0.2953148148148148,0.5066666666666667
v2x_freexp_altinf,2014,2015 - 2016,811,0.08833333333333333,0.8012537037037036,0.12111111111111111
v2x_freexp_altinf,2014,2015 - 2016,812,0.05992063492063492,0.9390348324514991,0.0011111111111111111
v2x_freexp_altinf,2014,2015 - 2016,816,0.08703703703703704,0.8886172839506173,0.02666666666666667
v2x_freexp_altinf,2014,2015 - 2016,820,0.07494444444444445,0.8905458441358024,0.03730555555555556
v2x_freexp_altinf,2014,2015 - 2016,830,0.04552809162515046,0.9481087623190172,0.006666666666666667
v2x_freexp_altinf,2014,2015 - 2016,840,0.013333333333333334,0.9493925925925926,0.03777777777777778
v2x_freexp_altinf,2014,2015 - 2016,850,0.03222222222222222,0.9050514403292181,0.06481481481481481
v2x_freexp_altinf,2014,2015 - 2016,860,0.03722222222222222,0.814171244855967,0.15435185185185188
v2x_freexp_altinf,2014,2015 - 2016,900,0.0044444444444444444,0.9889185185185184,0.006666666666666667
v2x_freexp_altinf,2014,2015 - 2016,910,0.021481481481481483,0.9654716049382717,0.013333333333333334
v2x_freexp_altinf,2014,2015 - 2016,920,0,0.9988888888888889,0.0011111111111111111
v2x_freexp_altinf,2014,2015 - 2016,940,0.015370370370370371,0.9747833333333333,0.01
v2x_freexp_altinf,2014,2015 - 2016,950,0.4116666666666667,0.5436635802469136,0.07592592592592592
v2x_freexp_altinf,2015,2016 - 2017,2,0.0011111111111111111,0.9830731481481482,0.015833333333333335
v2x_freexp_altinf,2015,2016 - 2017,20,0.005555555555555556,0.9646111111111111,0.03
v2x_freexp_altinf,2015,2016 - 2017,40,0.055912698412698414,0.9210096119929453,0.024444444444444446
v2x_freexp_altinf,2015,2016 - 2017,41,0.41235978835978837,0.5291093810363652,0.0996031746031746
v2x_freexp_altinf,2015,2016 - 2017,42,0.08277777777777776,0.7735240740740741,0.15666666666666668
v2x_freexp_altinf,2015,2016 - 2017,51,0.0011111111111111111,0.9877901234567902,0.011111111111111112
v2x_freexp_altinf,2015,2016 - 2017,52,0.006666666666666667,0.9673962962962963,0.026111111111111113
v2x_freexp_altinf,2015,2016 - 2017,53,0.0033333333333333335,0.9601222222222223,0.03666666666666667
v2x_freexp_altinf,2015,2016 - 2017,70,0.08003703703703703,0.786057242798354,0.14555555555555555
v2x_freexp_altinf,2015,2016 - 2017,90,0.06,0.8423096296296295,0.10392592592592592
v2x_freexp_altinf,2015,2016 - 2017,91,0.0637037037037037,0.8541102880658437,0.08777777777777777
v2x_freexp_altinf,2015,2016 - 2017,92,0.024259259259259258,0.9325913168724281,0.04422222222222222
v2x_freexp_altinf,2015,2016 - 2017,93,0.0901388888888889,0.8257832047325103,0.09240740740740741
v2x_freexp_altinf,2015,2016 - 2017,94,0.007722222222222222,0.9633363425925926,0.029166666666666667
v2x_freexp_altinf,2015,2016 - 2017,95,0.009555555555555555,0.9766882716049383,0.013888888888888888
v2x_freexp_altinf,2015,2016 - 2017,100,0.03027777777777778,0.9180037037037038,0.05333333333333334
v2x_freexp_altinf,2015,2016 - 2017,101,0.17825132275132274,0.6574750296394278,0.1999074074074074
v2x_freexp_altinf,2015,2016 - 2017,110,0.13185185185185186,0.819917695473251,0.05555555555555555
v2x_freexp_altinf,2015,2016 - 2017,115,0.008444444444444444,0.9744787654320987,0.017222222222222222
v2x_freexp_altinf,2015,2016 - 2017,130,0.05555555555555555,0.7426656378600823,0.21364814814814814
v2x_freexp_altinf,2015,2016 - 2017,135,0.03194444444444444,0.8724152520576132,0.09879629629629628
v2x_freexp_altinf,2015,2016 - 2017,140,0.0012698412698412698,0.9465742504409171,0.052222222222222225
v2x_freexp_altinf,2015,2016 - 2017,145,0.08355555555555556,0.8089743621399177,0.11726851851851852
v2x_freexp_altinf,2015,2016 - 2017,150,0.10444444444444445,0.752581769547325,0.15964814814814815
v2x_freexp_altinf,2015,2016 - 2017,155,0.011111111111111112,0.9623964334705076,0.026790123456790122
v2x_freexp_altinf,2015,2016 - 2017,160,0.030555555555555555,0.8865030864197531,0.08555555555555555
v2x_freexp_altinf,2015,2016 - 2017,165,0.012962962962962963,0.933298353909465,0.05444444444444444
v2x_freexp_altinf,2015,2016 - 2017,200,0,0.9925925925925926,0.007407407407407408
v2x_freexp_altinf,2015,2016 - 2017,205,0.0011111111111111111,0.9977790123456791,0.0011111111111111111
v2x_freexp_altinf,2015,2016 - 2017,210,0,0.9855555555555555,0.014444444444444444
v2x_freexp_altinf,2015,2016 - 2017,211,0.0011111111111111111,0.9889,0.01
v2x_freexp_altinf,2015,2016 - 2017,212,0,1,0
v2x_freexp_altinf,2015,2016 - 2017,220,0.0011111111111111111,0.9911197530864198,0.0077777777777777776
v2x_freexp_altinf,2015,2016 - 2017,225,0.0022222222222222222,0.9822567901234568,0.015555555555555555
v2x_freexp_altinf,2015,2016 - 2017,230,0.014444444444444444,0.9110913580246913,0.07555555555555556
v2x_freexp_altinf,2015,2016 - 2017,235,0.0022222222222222222,0.9711703703703705,0.02666666666666667
v2x_freexp_altinf,2015,2016 - 2017,260,0.006666666666666667,0.9429308641975308,0.050740740740740746
v2x_freexp_altinf,2015,2016 - 2017,290,0.024920634920634923,0.9181094503233392,0.05842592592592592
v2x_freexp_altinf,2015,2016 - 2017,305,0,0.9955555555555555,0.0044444444444444444
v2x_freexp_altinf,2015,2016 - 2017,310,0.07518783068783069,0.569922839117746,0.38374206349206347
v2x_freexp_altinf,2015,2016 - 2017,316,0.0044444444444444444,0.9894716049382716,0.006111111111111111
v2x_freexp_altinf,2015,2016 - 2017,317,0.0033333333333333335,0.9703841975308642,0.02637037037037037
v2x_freexp_altinf,2015,2016 - 2017,325,0,0.9944444444444445,0.005555555555555556
v2x_freexp_altinf,2015,2016 - 2017,339,0.043666666666666666,0.855298487654321,0.10564814814814814
v2x_freexp_altinf,2015,2016 - 2017,340,0.06654379379379378,0.7245348782764246,0.22381481481481483
v2x_freexp_altinf,2015,2016 - 2017,341,0.061092592592592594,0.9203912008185722,0.019721014492753625
v2x_freexp_altinf,2015,2016 - 2017,343,0.1295,0.7774048611111112,0.10694444444444444
v2x_freexp_altinf,2015,2016 - 2017,344,0.009444444444444445,0.8478421810699588,0.1440740740740741
v2x_freexp_altinf,2015,2016 - 2017,346,0.03283333333333333,0.9007187345679012,0.06870370370370371
v2x_freexp_altinf,2015,2016 - 2017,347,0.06116402116402116,0.8645487192407827,0.07912698412698414
v2x_freexp_altinf,2015,2016 - 2017,349,0.0077777777777777776,0.9845049382716049,0.0077777777777777776
v2x_freexp_altinf,2015,2016 - 2017,350,0.006666666666666667,0.9580148148148148,0.035555555555555556
v2x_freexp_altinf,2015,2016 - 2017,352,0.0044444444444444444,0.9889185185185184,0.006666666666666667
v2x_freexp_altinf,2015,2016 - 2017,355,0.030055555555555558,0.8352299382716051,0.1388888888888889
v2x_freexp_altinf,2015,2016 - 2017,359,0.0887037037037037,0.6490454732510288,0.2877777777777778
v2x_freexp_altinf,2015,2016 - 2017,360,0.021037037037037038,0.9359067215363511,0.04398148148148148
v2x_freexp_altinf,2015,2016 - 2017,365,0.08177777777777777,0.6682981657848325,0.2721825396825397
v2x_freexp_altinf,2015,2016 - 2017,366,0.0022222222222222222,0.9977777777777778,0
v2x_freexp_altinf,2015,2016 - 2017,367,0.0033333333333333335,0.9933444444444445,0.0033333333333333335
v2x_freexp_altinf,2015,2016 - 2017,368,0.0033333333333333335,0.9852234567901236,0.011481481481481481
v2x_freexp_altinf,2015,2016 - 2017,369,0.2450462962962963,0.5883745670438958,0.22064814814814815
v2x_freexp_altinf,2015,2016 - 2017,370,0.180137037037037,0.773783627914952,0.05620370370370371
v2x_freexp_altinf,2015,2016 - 2017,371,0.08659259259259261,0.8535284773662551,0.06555555555555556
v2x_freexp_altinf,2015,2016 - 2017,372,0.03166666666666667,0.9105919753086421,0.05962962962962963
v2x_freexp_altinf,2015,2016 - 2017,373,0.09553145743145744,0.8799545737362285,0.0271031746031746
v2x_freexp_altinf,2015,2016 - 2017,375,0.011111111111111112,0.9119753086419754,0.07777777777777778
v2x_freexp_altinf,2015,2016 - 2017,380,0.008888888888888889,0.9723901234567902,0.01888888888888889
v2x_freexp_altinf,2015,2016 - 2017,385,0.0044444444444444444,0.9833876543209876,0.012222222222222223
v2x_freexp_altinf,2015,2016 - 2017,390,0.0011111111111111111,0.9789111111111112,0.02
v2x_freexp_altinf,2015,2016 - 2017,395,0,0.9955555555555555,0.0044444444444444444
v2x_freexp_altinf,2015,2016 - 2017,402,0.006666666666666667,0.968316049382716,0.025185185185185182
v2x_freexp_altinf,2015,2016 - 2017,404,0.13342592592592595,0.817147256515775,0.05703703703703703
v2x_freexp_altinf,2015,2016 - 2017,411,0.057074074074074076,0.8972896037224093,0.04839862914862916
v2x_freexp_altinf,2015,2016 - 2017,420,0.06807407407407408,0.8797757276468388,0.055959595959595966
v2x_freexp_altinf,2015,2016 - 2017,432,0.04518518518518519,0.8702252949245541,0.08859259259259258
v2x_freexp_altinf,2015,2016 - 2017,433,0.04074074074074074,0.9236423182441701,0.037129629629629624
v2x_freexp_altinf,2015,2016 - 2017,434,0.03222222222222222,0.894298353909465,0.07592592592592592
v2x_freexp_altinf,2015,2016 - 2017,435,0.10925925925925925,0.7906808641975309,0.11233333333333333
v2x_freexp_altinf,2015,2016 - 2017,436,0.016666666666666666,0.9401759259259259,0.04388888888888889
v2x_freexp_altinf,2015,2016 - 2017,437,0.09527777777777778,0.8449938014403292,0.06601851851851852
v2x_freexp_altinf,2015,2016 - 2017,438,0.09122222222222222,0.8577515884773662,0.05614814814814815
v2x_freexp_altinf,2015,2016 - 2017,439,0.08644444444444443,0.825701962962963,0.09616666666666666
v2x_freexp_altinf,2015,2016 - 2017,450,0.00962962962962963,0.9681787379972565,0.022407407407407407
v2x_freexp_altinf,2015,2016 - 2017,451,0.021314814814814814,0.9611050994513032,0.017962962962962962
v2x_freexp_altinf,2015,2016 - 2017,452,0.03907407407407408,0.7979244170096023,0.16962962962962963
v2x_freexp_altinf,2015,2016 - 2017,461,0.07861111111111112,0.8817691666666667,0.043000000000000003
v2x_freexp_altinf,2015,2016 - 2017,471,0.065,0.5918327380952382,0.36702380952380953
v2x_freexp_altinf,2015,2016 - 2017,475,0.08888888888888889,0.7869300411522634,0.13629629629629628
v2x_freexp_altinf,2015,2016 - 2017,481,0.07745238095238095,0.897397213718821,0.02726190476190476
v2x_freexp_altinf,2015,2016 - 2017,482,0.2877777777777778,0.6362914197530865,0.10661111111111111
v2x_freexp_altinf,2015,2016 - 2017,483,0.10597222222222223,0.8403861111111111,0.06
v2x_freexp_altinf,2015,2016 - 2017,484,0.05740740740740741,0.9274063786008231,0.01611111111111111
v2x_freexp_altinf,2015,2016 - 2017,490,0.12694444444444444,0.7726541666666668,0.115
v2x_freexp_altinf,2015,2016 - 2017,500,0.12233333333333332,0.7477232407407407,0.14805555555555555
v2x_freexp_altinf,2015,2016 - 2017,501,0.011925925925925927,0.9332725582990399,0.05546296296296297
v2x_freexp_altinf,2015,2016 - 2017,510,0.12833333333333333,0.7087794612794613,0.18686868686868688
v2x_freexp_altinf,2015,2016 - 2017,516,0.23673400673400674,0.5181728020950244,0.3211111111111111
v2x_freexp_altinf,2015,2016 - 2017,517,0.08586928503595172,0.8878474416294779,0.028752204585537917
v2x_freexp_altinf,2015,2016 - 2017,520,0.12014957264957266,0.7713383898291484,0.12333009583009583
v2x_freexp_altinf,2015,2016 - 2017,522,0.02961111111111111,0.9614936574074073,0.009166666666666667
v2x_freexp_altinf,2015,2016 - 2017,530,0.07962962962962963,0.8429910836762688,0.08407407407407408
v2x_freexp_altinf,2015,2016 - 2017,531,0.035591985428051,0.9590501922687715,0.005555555555555556
v2x_freexp_altinf,2015,2016 - 2017,540,0.03263888888888889,0.9497873842592592,0.018166666666666668
v2x_freexp_altinf,2015,2016 - 2017,541,0.10353174603174603,0.8053273148148149,0.10166666666666667
v2x_freexp_altinf,2015,2016 - 2017,551,0.1111296296296296,0.6554595953360769,0.2625925925925926
v2x_freexp_altinf,2015,2016 - 2017,552,0.2356975308641975,0.6123855586038713,0.19876543209876546
v2x_freexp_altinf,2015,2016 - 2017,553,0.06648148148148149,0.8764701646090535,0.06111111111111111
v2x_freexp_altinf,2015,2016 - 2017,560,0.035555555555555556,0.8467413991769547,0.12204232804232804
v2x_freexp_altinf,2015,2016 - 2017,565,0.008518518518518519,0.9716518518518519,0.02
v2x_freexp_altinf,2015,2016 - 2017,570,0.07046296296296296,0.6890623628257888,0.2587037037037037
v2x_freexp_altinf,2015,2016 - 2017,571,0.04466666666666667,0.7994017037037037,0.16322222222222224
v2x_freexp_altinf,2015,2016 - 2017,572,0.02493827160493827,0.9688502240512118,0.006370370370370371
v2x_freexp_altinf,2015,2016 - 2017,580,0.07344017094017093,0.8115119836182336,0.12416666666666666
v2x_freexp_altinf,2015,2016 - 2017,581,0.11796296296296295,0.7918732510288066,0.10222222222222223
