outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2xcl_rol,2016,2017 - 2018,501,0.1761111111111111,0.5857239711934157,0.2890740740740741
v2xcl_rol,2016,2017 - 2018,510,0.215984126984127,0.5446732495590829,0.30527777777777776
v2xcl_rol,2016,2017 - 2018,516,0.33924074074074073,0.4299523791152264,0.34930555555555554
v2xcl_rol,2016,2017 - 2018,517,0.2992600732600733,0.4347182878849546,0.3796296296296296
v2xcl_rol,2016,2017 - 2018,520,0.33740740740740743,0.5032942901234567,0.24041666666666667
v2xcl_rol,2016,2017 - 2018,522,0.03380032206119162,0.8966094443450429,0.0720246913580247
v2xcl_rol,2016,2017 - 2018,530,0.24861111111111112,0.5019695216049384,0.33194444444444443
v2xcl_rol,2016,2017 - 2018,531,0.19609935897435898,0.7648221376424501,0.04861111111111111
v2xcl_rol,2016,2017 - 2018,540,0.04738888888888889,0.8891037037037037,0.06666666666666667
v2xcl_rol,2016,2017 - 2018,541,0.20516666666666666,0.6262992283950617,0.21203703703703705
v2xcl_rol,2016,2017 - 2018,551,0.2778348239880748,0.47181458166112444,0.3466666666666667
v2xcl_rol,2016,2017 - 2018,552,0.3704126984126984,0.42951844797178135,0.31777777777777777
v2xcl_rol,2016,2017 - 2018,553,0.24087301587301588,0.6369637713109935,0.16092592592592592
v2xcl_rol,2016,2017 - 2018,560,0.029722222222222223,0.8934538528806585,0.07917724867724868
v2xcl_rol,2016,2017 - 2018,565,0.0077777777777777776,0.9712753086419753,0.021111111111111112
v2xcl_rol,2016,2017 - 2018,570,0.08155555555555556,0.704906111111111,0.2325
v2xcl_rol,2016,2017 - 2018,571,0.02528395061728395,0.9538292768959435,0.02142857142857143
v2xcl_rol,2016,2017 - 2018,572,0.4884056036556038,0.5082785067384603,0.006481481481481482
v2xcl_rol,2016,2017 - 2018,580,0.13609876543209876,0.7885498491083677,0.08722222222222223
v2xcl_rol,2016,2017 - 2018,581,0.16510846560846562,0.6992989648246131,0.1624074074074074
v2xcl_rol,2016,2017 - 2018,590,0.005555555555555556,0.9889197530864198,0.005555555555555556
v2xcl_rol,2016,2017 - 2018,600,0.23194444444444445,0.6421513374485596,0.16392592592592592
v2xcl_rol,2016,2017 - 2018,615,0.30768518518518523,0.5243900102880658,0.24255555555555558
v2xcl_rol,2016,2017 - 2018,616,0.10662962962962963,0.8202416243386244,0.08185714285714286
v2xcl_rol,2016,2017 - 2018,620,0.21389908749329037,0.5639546176020358,0.2825925925925926
v2xcl_rol,2016,2017 - 2018,625,0.260462962962963,0.6546272290809327,0.11481481481481481
v2xcl_rol,2016,2017 - 2018,626,0.1847513227513227,0.5545502669018225,0.31977777777777777
v2xcl_rol,2016,2017 - 2018,630,0.3405687830687831,0.4385793286512135,0.33491269841269844
v2xcl_rol,2016,2017 - 2018,640,0.3298730158730159,0.3763879894179894,0.43833333333333335
v2xcl_rol,2016,2017 - 2018,645,0.38055555555555554,0.48665390946502063,0.21437037037037038
v2xcl_rol,2016,2017 - 2018,651,0.290925925925926,0.6204135528120712,0.12503703703703703
v2xcl_rol,2016,2017 - 2018,652,0.2868518518518518,0.6389807407407408,0.104
v2xcl_rol,2016,2017 - 2018,660,0.28180555555555553,0.6116755684156379,0.14831481481481484
v2xcl_rol,2016,2017 - 2018,663,0.2206825396825397,0.6485302599731251,0.1678227513227513
v2xcl_rol,2016,2017 - 2018,666,0.018055555555555554,0.9639057613168723,0.018370370370370367
v2xcl_rol,2016,2017 - 2018,670,0.053592592592592594,0.9139989854007445,0.03424362674362674
v2xcl_rol,2016,2017 - 2018,678,0.2102020202020202,0.643392835765058,0.18537037037037035
v2xcl_rol,2016,2017 - 2018,690,0.04837037037037037,0.9306937777777777,0.022000000000000006
v2xcl_rol,2016,2017 - 2018,694,0.1395945637514265,0.7051712998863926,0.18041975308641978
v2xcl_rol,2016,2017 - 2018,696,0.15323280423280422,0.8130757179250301,0.03978835978835979
v2xcl_rol,2016,2017 - 2018,698,0.02925925925925926,0.9562566725455616,0.014920634920634921
v2xcl_rol,2016,2017 - 2018,700,0.3164285714285714,0.38387599206349204,0.43842592592592594
v2xcl_rol,2016,2017 - 2018,701,0.240343137254902,0.7436196623093682,0.021111111111111112
v2xcl_rol,2016,2017 - 2018,702,0.2814656084656085,0.519207628845777,0.27740740740740744
v2xcl_rol,2016,2017 - 2018,703,0.2733333333333333,0.5940557671957672,0.18249206349206348
v2xcl_rol,2016,2017 - 2018,704,0.2776296296296296,0.6512482962962962,0.09845652173913044
v2xcl_rol,2016,2017 - 2018,705,0.22462962962962962,0.6491573045267489,0.16277777777777777
v2xcl_rol,2016,2017 - 2018,710,0.1353003423591659,0.7533775831978883,0.12874074074074074
v2xcl_rol,2016,2017 - 2018,712,0.06935185185185185,0.8507675154320987,0.08583333333333333
v2xcl_rol,2016,2017 - 2018,713,0.027777777777777776,0.9430555555555555,0.03
v2xcl_rol,2016,2017 - 2018,731,0.017678062678062677,0.9801059248707397,0.002255892255892256
v2xcl_rol,2016,2017 - 2018,732,0.03222222222222222,0.9353393004115226,0.03351851851851852
v2xcl_rol,2016,2017 - 2018,740,0,0.9955555555555555,0.0044444444444444444
v2xcl_rol,2016,2017 - 2018,750,0.15799382716049384,0.6067434110653864,0.2794074074074074
v2xcl_rol,2016,2017 - 2018,760,0.16417283950617284,0.723609625057156,0.13425925925925927
v2xcl_rol,2016,2017 - 2018,770,0.23062962962962963,0.5617116083676269,0.2699074074074074
v2xcl_rol,2016,2017 - 2018,771,0.19581481481481483,0.5117532417205565,0.36363756613756615
v2xcl_rol,2016,2017 - 2018,775,0.3932407407407408,0.4895648319615912,0.19314814814814815
v2xcl_rol,2016,2017 - 2018,780,0.25666666666666665,0.6793103086419754,0.08612962962962963
v2xcl_rol,2016,2017 - 2018,781,0.32568783068783064,0.4197593253968255,0.3775
v2xcl_rol,2016,2017 - 2018,790,0.1912037037037037,0.6403469935985368,0.2082716049382716
v2xcl_rol,2016,2017 - 2018,800,0.3408703703703703,0.5129615312071331,0.22175925925925924
v2xcl_rol,2016,2017 - 2018,811,0.1468355119825708,0.5673069865044783,0.33505555555555555
v2xcl_rol,2016,2017 - 2018,812,0.08888888888888889,0.8864566001899336,0.02705982905982906
v2xcl_rol,2016,2017 - 2018,816,0.20382988616321948,0.5223002322977827,0.34398412698412684
v2xcl_rol,2016,2017 - 2018,820,0.051166666666666666,0.9316639682539682,0.018095238095238095
v2xcl_rol,2016,2017 - 2018,830,0.017717864923747276,0.9790078612926653,0.0033333333333333335
v2xcl_rol,2016,2017 - 2018,840,0.2870370370370371,0.49748971193415636,0.3022222222222222
v2xcl_rol,2016,2017 - 2018,850,0.07807936507936508,0.8681541259343243,0.05832010582010582
v2xcl_rol,2016,2017 - 2018,860,0.14423737373737375,0.7213128092031426,0.15711111111111112
v2xcl_rol,2016,2017 - 2018,900,0.006666666666666667,0.986711111111111,0.006666666666666667
