gwcode,year,infmort
135,1974,93.7
135,1975,91.4
135,1976,89.3
135,1977,87.5
135,1978,86
135,1979,84.5
135,1980,82.9
135,1981,81.2
135,1982,79.3
135,1983,76.9
135,1984,74.2
135,1985,71.3
135,1986,68.2
135,1987,65.1
135,1988,62.2
135,1989,59.5
135,1990,57
135,1991,54.3
135,1992,51.7
135,1993,48.9
135,1994,46
135,1995,43.1
135,1996,40.2
135,1997,37.4
135,1998,34.6
135,1999,32
135,2000,29.6
135,2001,27.5
135,2002,25.5
135,2003,23.8
135,2004,22.2
135,2005,20.8
135,2006,19.6
135,2007,18.5
135,2008,17.5
135,2009,16.6
135,2010,15.8
135,2011,15.1
135,2012,14.4
135,2013,13.7
135,2014,13.1
135,2015,12.6
135,2016,12.1
135,2017,11.6
140,1970,102
140,1971,99.6
140,1972,97.2
140,1973,94.8
140,1974,92.5
140,1975,90
140,1976,87.6
140,1977,85.1
140,1978,82.5
140,1979,79.7
140,1980,76.7
140,1981,73.7
140,1982,70.8
140,1983,67.9
140,1984,65.3
140,1985,62.9
140,1986,60.7
140,1987,58.7
140,1988,56.6
140,1989,54.6
140,1990,52.6
140,1991,50.4
140,1992,48.2
140,1993,45.8
140,1994,43.4
140,1995,41
140,1996,38.6
140,1997,36.4
140,1998,34.3
140,1999,32.3
140,2000,30.4
140,2001,28.6
140,2002,26.8
140,2003,25.2
140,2004,23.6
140,2005,22.1
140,2006,20.8
140,2007,19.5
140,2008,18.5
140,2009,17.5
140,2010,16.7
140,2011,16
140,2012,15.4
140,2013,14.9
140,2014,14.5
140,2015,14
140,2016,14.6
140,2017,13.2
145,1970,143.3
145,1971,140
145,1972,136.7
145,1973,133.4
145,1974,130.1
145,1975,126.7
145,1976,123.4
145,1977,120.1
145,1978,117.1
145,1979,114.2
145,1980,111.5
145,1981,109
145,1982,106.5
145,1983,104.1
145,1984,101.6
145,1985,99
145,1986,96.4
145,1987,93.6
145,1988,90.8
145,1989,88
145,1990,85.3
145,1991,82.5
145,1992,79.9
145,1993,77.2
145,1994,74.6
145,1995,71.9
145,1996,69.2
145,1997,66.5
145,1998,63.8
145,1999,61.1
145,2000,58.4
145,2001,55.8
145,2002,53.2
145,2003,50.7
145,2004,48.3
145,2005,46
145,2006,43.8
145,2007,41.6
145,2008,39.6
145,2009,37.8
145,2010,36.1
145,2011,34.7
145,2012,33.4
145,2013,32.2
145,2014,31.1
145,2015,30
145,2016,29
145,2017,28
150,1970,57.8
150,1971,57.4
150,1972,56.8
150,1973,56.3
150,1974,55.6
150,1975,54.8
150,1976,53.9
150,1977,53
150,1978,52
150,1979,50.9
150,1980,49.7
150,1981,48.4
150,1982,47
150,1983,45.6
150,1984,44.2
150,1985,42.8
150,1986,41.4
150,1987,40.1
150,1988,38.8
150,1989,37.5
150,1990,36.3
150,1991,35.2
150,1992,34
150,1993,33
150,1994,32.1
150,1995,31.2
150,1996,30.4
150,1997,29.8
150,1998,29.2
150,1999,28.6
150,2000,28
150,2001,27.4
150,2002,26.8
150,2003,26.3
150,2004,25.7
150,2005,25.1
150,2006,24.5
150,2007,23.9
150,2008,23.3
150,2009,22.6
150,2010,22
150,2011,21.4
150,2012,20.8
150,2013,20.2
150,2014,19.6
150,2015,19
150,2016,18.4
150,2017,17.9
155,1970,66.5
155,1971,65.4
155,1972,64.5
155,1973,63
155,1974,59.6
155,1975,54.1
155,1976,47.7
155,1977,41.1
155,1978,35.3
155,1979,31
155,1980,27.9
155,1981,25.3
155,1982,22.8
155,1983,20.7
155,1984,19.4
155,1985,18.9
155,1986,18.7
155,1987,18.5
155,1988,18
155,1989,17.2
155,1990,16.1
155,1991,15.1
155,1992,13.9
155,1993,12.8
155,1994,11.9
155,1995,11.1
155,1996,10.6
155,1997,10.3
155,1998,10.1
155,1999,9.8
155,2000,9.2
155,2001,8.7
155,2002,8.3
155,2003,8.1
155,2004,7.9
155,2005,7.8
155,2006,7.7
155,2007,7.7
155,2008,7.7
155,2009,7.7
155,2010,7.5
155,2011,7.2
155,2012,7.2
155,2013,7.1
155,2014,6.9
155,2015,6.7
155,2016,6.6
155,2017,6.3
160,1970,59.4
160,1971,58.8
160,1972,57.9
160,1973,56.8
160,1974,55.2
160,1975,53.2
160,1976,50.6
160,1977,47.4
160,1978,44
160,1979,40.6
160,1980,37.5
160,1981,34.7
160,1982,32.4
160,1983,30.4
160,1984,28.7
160,1985,27.4
160,1986,26.4
160,1987,25.9
160,1988,25.7
160,1989,25.6
160,1990,25.4
160,1991,25.1
160,1992,24.4
160,1993,23.5
160,1994,22.6
160,1995,21.7
160,1996,20.8
160,1997,19.9
160,1998,19.1
160,1999,18.4
160,2000,17.7
160,2001,17
160,2002,16.3
160,2003,15.7
160,2004,15.2
160,2005,14.7
160,2006,14.3
160,2007,14
160,2008,13.7
160,2009,13.4
160,2010,13
160,2011,12.5
160,2012,11.9
160,2013,11.3
160,2014,10.7
160,2015,10.2
160,2016,9.7
160,2017,9.2
165,1970,48.5
165,1971,47.8
165,1972,47.9
165,1973,48.4
165,1974,49.1
165,1975,49.4
165,1976,48.7
165,1977,46.5
165,1978,43.3
165,1979,39.4
165,1980,35.4
165,1981,32
165,1982,29.4
165,1983,27.6
165,1984,26.3
165,1985,25.4
165,1986,24.4
165,1987,23.2
165,1988,22.1
165,1989,21.1
165,1990,20.2
165,1991,19.6
165,1992,19.1
165,1993,18.7
165,1994,18.4
165,1995,18
165,1996,17.4
165,1997,16.7
165,1998,16
165,1999,15.3
165,2000,14.8
165,2001,14.4
165,2002,14.1
165,2003,13.7
165,2004,13.2
165,2005,12.5
165,2006,11.7
165,2007,10.9
165,2008,10.2
165,2009,9.7
165,2010,9.2
165,2011,8.8
165,2012,8.5
165,2013,8.2
165,2014,8
165,2015,7.6
165,2016,7.3
165,2017,7
200,1970,18
200,1971,17.7
200,1972,17.1
200,1973,16.6
200,1974,16
200,1975,15.4
200,1976,14.7
200,1977,14.1
200,1978,13.4
200,1979,12.7
200,1980,12
200,1981,11.4
200,1982,10.8
200,1983,10.4
200,1984,10
200,1985,9.7
200,1986,9.5
200,1987,9.2
200,1988,8.9
200,1989,8.4
200,1990,7.9
200,1991,7.4
200,1992,7
200,1993,6.5
200,1994,6.3
200,1995,6.1
200,1996,5.9
200,1997,5.9
200,1998,5.8
200,1999,5.7
200,2000,5.5
200,2001,5.4
200,2002,5.3
200,2003,5.3
200,2004,5.3
200,2005,5.1
200,2006,5
200,2007,4.9
200,2008,4.8
200,2009,4.6
200,2010,4.4
200,2011,4.2
200,2012,4.1
200,2013,3.9
200,2014,3.8
200,2015,3.8
200,2016,3.7
200,2017,3.7
205,1970,19
205,1971,18.6
205,1972,18.2
205,1973,17.9
205,1974,17.5
205,1975,16.9
205,1976,16.1
205,1977,15.3
205,1978,14.2
205,1979,13
205,1980,12
205,1981,11.1
205,1982,10.4
205,1983,9.8
205,1984,9.3
205,1985,8.9
205,1986,8.7
205,1987,8.5
205,1988,8.3
205,1989,8
205,1990,7.7
205,1991,7.2
205,1992,6.8
205,1993,6.4
205,1994,6.2
205,1995,6.1
205,1996,6.1
205,1997,6.1
205,1998,6.1
205,1999,6.1
